Number,Symbol,Name,Industry,Market Cap
327,AMPS,Altus Power,Utilities-Renewable,1178440830
328,AMPY,Amplify Energy,Oil & Gas E&P,220011087
329,AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",2500917662
330,AMRC,Ameresco,Construction & Engineering,4138978245
331,AMRK,A-Mark Precious Metals,Diversified Financial Services,919623180
332,AMRN,Amarin,Biotechnology,1400485118
333,AMRS,Amyris,Chemicals,1473311742
334,AMRX,Amneal Pharmaceuticals,Pharmaceuticals,1301850877
335,AMS,American Shared Hospital Services,Health Care Providers & Services,13731117
336,AMSC,American Superconductor,Electrical Equipment,217417576
337,AMSF,AMERISAFE,Insurance,992216484
338,AMST,Amesite,Software-Application,14558373
339,AMSWA,American Software,Software,702025012
340,AMT,American Tower,Equity Real Estate Investment Trusts ...,1.1714E+11
341,AMTB,Amerant Bancorp,Banks,1086818026
342,AMTD,AMTD International,Capital Markets,2337479167
343,AMTI,Applied Molecular Transport,Biotechnology,295315773
344,AMTX,Aemetis,"Oil, Gas & Consumable Fuels",395768856
345,AMWD,American Woodmark,Building Products,808645231
346,AMWL,American Well,Health Information Services,1145420284
347,AMX,America Movil,Wireless Telecommunication Services,70467338229
348,AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,514261724
349,AMZN,Amazon.com,Internet & Direct Marketing Retail,1.66453E+12
350,AN,AutoNation,Specialty Retail,6065968548
351,ANAB,AnaptysBio,Biotechnology,693193594
352,ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,387011417
353,ANAT,American National Group,Insurance,5086789557
354,ANDE,The Andersons,Food & Staples Retailing,1699389950
355,ANEB,Anebulo Pharmaceuticals,Biotechnology,166680444
356,ANET,Arista Networks,Communications Equipment,42862202744
357,ANF,Abercrombie & Fitch Company,Specialty Retail,1590659431
358,ANGH,Anghami,Entertainment,224190282
359,ANGI,Angi Inc.,Interactive Media & Services,2844225277
360,ANGN,Angion Biomedica,Biotechnology,66806563
361,ANGO,AngioDynamics,Health Care Equipment & Supplies,871900084
362,ANIK,Anika Therapeutics,Biotechnology,368908500
363,ANIP,ANI Pharmaceuticals,Pharmaceuticals,495363828
364,ANIX,Anixa Biosciences,Biotechnology,83823391
365,ANNX,Annexon,Biotechnology,102579176
366,ANPC,AnPac Bio-Medical Science Co.,Biotechnology,7190260
367,ANSS,ANSYS,Software,27542888173
368,ANTE,AirNet Technology,Media,33633306
369,ANTM,Anthem,Health Care Providers & Services,1.2049E+11
370,ANTX,AN2 Therapeutics,Health Care,295901426
371,ANVS,Annovis Bio,Biotechnology,112907013
372,ANY,Sphere 3D,Software,139663823
373,ANZU,Anzu Special Acquisition I,Blank Check / SPAC,519031240
374,AOGO,Arogo Capital Acquisition,Blank Check / SPAC,116246063
375,AOMR,Angel Oak Mortgage,REIT-Mortgage,422695730
376,AON,Aon plc,Insurance,70351199929
377,AORT,Artivion,Medical Devices,868901686
378,AOS,A. O. Smith,Building Products,10344675305
379,AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1420833626
380,AOUT,American Outdoor Brands,Leisure Products,182523207
381,AP,Ampco-Pittsburgh,Metals & Mining,121092054
382,APA,APA Corporation,"Oil, Gas & Consumable Fuels",14640882677
383,APAC,Stonebridge Acquisition,Blank Check / SPAC,249250000
384,APAM,Artisan Partners Asset Management,Capital Markets,2632667895
385,APCA,AP Acquisition,Blank Check / SPAC,215840614
386,APCX,AppTech Payments,Software-Infrastructure,21937908
387,APD,Air Products & Chemicals,Chemicals,55205314336
388,APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",17292072
389,APEI,American Public Education,Diversified Consumer Services,416910582
390,APEN,Apollo Endosurgery,Health Care Equipment & Supplies,236947322
391,APG,APi Group,Construction & Engineering,4893420016
392,APGB,Apollo Strategic Growth Capital II,Shell Companies,845250039
393,APH,Amphenol,"Electronic Equipment, Instruments & C...",45261897689
394,API,Agora,"Electronic Equipment, Instruments & C...",1167979639
395,APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts ...,4126868479
396,APLS,Apellis Pharmaceuticals,Biotechnology,5844099045
397,APLT,Applied Therapeutics,Biotechnology,59771339
398,APM,Aptorum Group,Biotechnology,56646612
399,APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,180562490
400,APN,Apeiron Capital Investment,Blank Check / SPAC,215193740
401,APO,Apollo Global Management,Capital Markets,37397999563
402,APOG,Apogee Enterprises,Building Products,1208463202
403,APP,AppLovin,Software-Application,20020303863
404,APPF,AppFolio,Software,4022626284
405,APPH,AppHarvest,Food Products,495202239
406,APPN,Appian,Software,4403347942
407,APPS,Digital Turbine,Software,4307985893
408,APRE,Aprea Therapeutics,Biotechnology,40652455
409,APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,132437397
410,APSG,Apollo Strategic Growth Capital,Shell Companies,1016925950
411,APT,Alpha Pro Tech,Building Products,57825588
412,APTM,Alpha Partners Technology Merger,Blank Check / SPAC,350559965
413,APTO,Aptose Biosciences,Biotechnology,130203622
414,APTS,Preferred Apartment Communities,Equity Real Estate Investment Trusts ...,1402584187
415,APTV,Aptiv,Auto Components,32257849288
416,APTX,Aptinyx,Biotechnology,155746093
417,APVO,Aptevo Therapeutics,Biotechnology,31545612
418,APWC,Asia Pacific Wire & Cable,Electrical Equipment,37315318
419,APXI,APx Acquisition I,Blank Check / SPAC,214978125
420,APYX,Apyx Medical,Health Care Equipment & Supplies,232048076
421,AQB,AquaBounty Technologies,Biotechnology,136530606
422,AQMS,Aqua Metals,Commercial Services & Supplies,111249518
423,AQN,Algonquin Power & Utilities,Multi-Utilities,10510279665
424,AQST,Aquestive Therapeutics,Pharmaceuticals,105957759
425,AQUA,Evoqua Water Technologies,Machinery,5682366952
426,AR,Antero Resources,"Oil, Gas & Consumable Fuels",9777946614
427,ARAV,Aravive,Biotechnology,39836475
428,ARAY,Accuray,Health Care Equipment & Supplies,313439263
429,ARBE,Arbe Robotics,Software-Infrastructure,391453662
430,ARBG,Aequi Acquisition,Blank Check / SPAC,282612509
431,ARBK,Argo Blockchain,Capital Markets,464805435
432,ARC,ARC Document Solutions,Commercial Services & Supplies,166773616
433,ARCB,ArcBest,Road & Rail,1844437500
434,ARCC,Ares Capital,Capital Markets,10435816441
435,ARCE,Arco Platform,Diversified Consumer Services,1269534833
436,ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",2181652156
437,ARCK,Arbor Rapha Capital Bioholdings I,Blank Check / SPAC,215840614
438,ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",1715395577
439,ARCT,Arcturus Therapeutics Holdings,Biotechnology,762501221
440,ARDS,Aridis Pharmaceuticals,Biotechnology,23891800
441,ARDX,Ardelyx,Biotechnology,139414591
442,ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts ...,32943462387
443,AREC,American Resources,"Oil, Gas & Consumable Fuels",172244558
444,AREN,Arena Group Holdings,Internet Content & Information,2528110580
445,ARES,Ares Management,Capital Markets,24351813571
446,ARGO,Argo Group International Holdings,Insurance,1494548452
447,ARGU,Argus Capital,Blank Check / SPAC,380176094
448,ARGX,Argenx SE,Biotechnology,17649239789
449,ARHS,Arhaus,Home Improvement Retail,1196138105
450,ARI,Apollo Commercial Real Estate Finance,Mortgage Real Estate Investment Trust...,1990060404
451,ARIS,Aris Water Solutions,Utilities-Regulated Water,972720369
452,ARIZ,Arisz Acquisition,Blank Check / SPAC,87278119
453,ARKO,ARKO Corp.,Grocery Stores,1163838720
454,ARKR,Ark Restaurants,"Hotels, Restaurants & Leisure",64816134
455,ARL,American Realty Investors,Real Estate Management & Development,269738400
456,ARLO,Arlo Technologies,"Electronic Equipment, Instruments & C...",743657464
457,ARLP,Alliance Resource Partners,"Oil, Gas & Consumable Fuels",1960074872
458,ARMK,Aramark,"Hotels, Restaurants & Leisure",9787996160
459,ARMP,Armata Pharmaceuticals,Biotechnology,157322746
460,ARNC,Arconic,Aerospace & Defense,2765308144
461,AROC,Archrock,Energy Equipment & Services,1480109433
462,AROW,Arrow Financial,Banks,516179323
